FactuurNummer,FactuurDatum,LeverancierID,KlantID,Verkoopcategorie,Subcategorie,Product,Bedrag
2252,7-3-2011,11,13917,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,The Ordinary Hyaluronic Acid Serum voor hydratatie,32.0
13108,7-3-2011,1,9428,Voeding:,Drankjes (frisdrank, sap, water),Coca-Cola Frisdrank in blik,4.7
13183,7-3-2011,24,11589,Voeding:,Zuivelproducten,Volle melk voor het maken van koffie,6.9
14489,7-3-2011,11,235,Boeken en Onderwijs:,Studieboeken,Principles of Economics door N. Gregory Mankiw,32.2
4179,8-3-2011,14,13156,Voeding:,Bakkerijproducten,Glutenvrije muffins voor een gezonder alternatief,6.6
12131,8-3-2011,30,5528,Auto en Transport:,Fictie en non-fictie boeken,Educated door Tara Westover,9.6
13626,8-3-2011,20,8628,Schoonheids- en Verzorgingsproducten:,Parfums,Viktor & Rolf Flowerbomb Eau de Parfum voor bloemige noten,102.6
16765,8-3-2011,15,10831,Kleding en Mode:,T-shirts,Grafisch bedrukt T-shirt met slogan,20.8
20674,8-3-2011,1,14342,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Callaway Mavrik Golfclubs voor afstand en nauwkeurigheid,126.9
2519,9-3-2011,13,1491,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),WeatherTech DigitalFit Automatten voor bescherming,18.7
14173,9-3-2011,18,10310,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Olaplex Hair Perfector No. 3 voor sterk en gezond haar,46.1
15779,9-3-2011,15,9359,Reizen en Toerisme:,Reispakketten,Cultuur en Historie Rondreis door Itali ,1346.0
18725,9-3-2011,7,9972,Sport en Recreatie:,Fietsen,BMX-fiets voor tricks en stunts,1027.3
1363,10-3-2011,28,9374,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Wilson Blade Tennisracket voor precisie en kracht,62.4
1757,10-3-2011,17,10790,Kleding en Mode:,T-shirts,V-hals T-shirt met subtiele print,37.4
16257,10-3-2011,2,10204,Boeken en Onderwijs:,Fictie en non-fictie boeken,Educated door Tara Westover,10.3
7609,11-3-2011,6,3291,Schoonheids- en Verzorgingsproducten:,Parfums,Viktor & Rolf Flowerbomb Eau de Parfum voor bloemige noten,95.9
9364,11-3-2011,25,9796,Woondecoratie:,Kaarsen en geurverspreiders,Aromatherapie Essenti le Oli n voor geurige ontspanning,11.7
12022,11-3-2011,11,7786,Voeding:,Bakkerijproducten,Versgebakken stokbrood voor bij het diner,5.2
15736,11-3-2011,17,7208,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,CeraVe Moisturizing Cream voor droge huid,22.7
15919,11-3-2011,2,13045,Boeken en Onderwijs:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,10.1
17718,11-3-2011,17,1301,Voeding:,Verse producten (groenten, fruit, vlees, vis),Knapperige broccoli voor groene smoothies,16.6
20398,11-3-2011,22,7204,Auto en Transport:,Autowas- en reinigingsproducten,Stoner Invisible Glass Cleaner voor streepvrije ramen,8.8
1776,12-3-2011,9,14700,Elektronica:,Laptops,Apple MacBook Pro 16-inch met Retina-display,596.6
4043,12-3-2011,17,13319,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Aveeno Daily Moisturizing Body Lotion voor gevoelige huid,14.2
11480,12-3-2011,18,10982,Elektronica:,Laptops,HP Spectre x360 met 2-in-1 functionaliteit,1115.1
17982,13-3-2011,3,12205,Schoonheids- en Verzorgingsproducten:,Parfums,Viktor & Rolf Flowerbomb Eau de Parfum voor bloemige noten,90.0
2913,14-3-2011,6,12660,Voeding:,Verse producten (groenten, fruit, vlees, vis),Sappige mango's uit tropische regio,9.6
5222,14-3-2011,19,1760,Voeding:,Verpakte snacks,Pringles Sour Cream & Onion Chips,7.9
5877,14-3-2011,9,503,Reizen en Toerisme:,Activiteiten en rondleidingen,Wijnproeverij Tour in Napa Valley, Californi ,136.5
6173,14-3-2011,9,11160,Schoonheids- en Verzorgingsproducten:,Make-up,MAC Ruby Woo Lipstick voor een klassieke rode lip,35.0
8173,14-3-2011,15,3495,Elektronica:,Laptops,Dell XPS 15 met dunne randen en krachtige prestaties,950.1
8211,14-3-2011,14,8538,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Luxe dekbedovertrekset met satijnen afwerking,112.1
12241,14-3-2011,4,9629,Boeken en Onderwijs:,Schrijfwaren,Pilot G2 Gel Ink Pennen voor vloeiend schrijven,5.5
12909,15-3-2011,30,1173,Schoonheids- en Verzorgingsproducten:,Make-up,Maybelline Great Lash Mascara voor volle wimpers,28.8
19593,15-3-2011,30,2093,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,La Roche-Posay Effaclar Cleanser voor acne-gevoelige huid,5.5
19756,16-3-2011,2,12538,Reizen en Toerisme:,Reispakketten,Avontuurlijke Safari Reis door Kenia en Tanzania,2198.3
2997,17-3-2011,1,4602,Elektronica:,Koptelefoons,Apple AirPods Pro met transparantiemodus,127.2
8658,17-3-2011,11,2094,Sport en Recreatie:,Fitnessapparatuur,TRX Suspension Trainer voor lichaamsgewichttraining,1317.4
18319,17-3-2011,19,11862,Elektronica:,Koptelefoons,Sennheiser HD 660S met hoge geluidskwaliteit,187.9
18656,17-3-2011,5,8382,Auto en Transport:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,12.8
18791,17-3-2011,29,13670,Elektronica:,Koptelefoons,Sennheiser HD 660S met hoge geluidskwaliteit,214.0
5998,18-3-2011,10,3675,Auto en Transport:,Fictie en non-fictie boeken,To Kill a Mockingbird door Harper Lee,22.5
7984,18-3-2011,19,206,Boeken en Onderwijs:,Schrijfwaren,TUL Gel Ballpoint Pennen voor ergonomisch schrijven,9.9
13052,18-3-2011,15,79,Elektronica:,Slimme horloges,Samsung Galaxy Watch 4 met ECG-meting,575.0
13505,18-3-2011,30,8475,Woondecoratie:,Kaarsen en geurverspreiders,Glazen Geurkaars met Zeebriesaroma voor frisheid,18.0
15508,18-3-2011,15,3464,Boeken en Onderwijs:,Educatieve materialen,National Geographic Kids Magazine voor jeugdige leerlingen,66.6
18489,18-3-2011,4,9758,Reizen en Toerisme:,Activiteiten en rondleidingen,Snorkelavontuur in het Great Barrier Reef, Australi ,77.2
11572,19-3-2011,26,10609,Sport en Recreatie:,Sportkleding,Nike Pro Leggings met vochtafvoerende eigenschappen,83.8
14555,19-3-2011,13,14209,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Memory Foam Kussen voor ergonomische ondersteuning,78.4
2821,20-3-2011,14,11355,Voeding:,Verpakte snacks,Kinder Bueno Chocoladerepen als zoete traktatie,8.2
4638,20-3-2011,29,5765,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Memory Foam Kussen voor ergonomische ondersteuning,78.4
5068,20-3-2011,15,12263,Reizen en Toerisme:,Reispakketten,All-Inclusive Pakket voor Caribisch Eiland Resort,1221.0
8318,20-3-2011,21,12114,Elektronica:,Smartphones,Apple iPhone 13 Pro met geavanceerde camera's,302.7
10136,20-3-2011,2,7301,Schoonheids- en Verzorgingsproducten:,Make-up,MAC Ruby Woo Lipstick voor een klassieke rode lip,34.1
13128,20-3-2011,28,2932,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Michelin Pilot Sport 4 Zomerbanden voor grip,73.7
20403,20-3-2011,12,8666,Elektronica:,Laptops,Lenovo ThinkPad X1 Carbon voor zakelijke gebruikers,837.4
5237,21-3-2011,6,12315,Boeken en Onderwijs:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,10.0
7543,21-3-2011,8,2351,Elektronica:,Slimme horloges,Fossil Gen 5 met stijlvol design en Wear OS,462.0
12524,21-3-2011,27,10221,Elektronica:,Koptelefoons,Apple AirPods Pro met transparantiemodus,132.4
1213,22-3-2011,24,6987,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,La Roche-Posay Effaclar Cleanser voor acne-gevoelige huid,5.8
2475,22-3-2011,12,12764,Boeken en Onderwijs:,E-books en audioboeken,The Subtle Art of Not Giving a F*ck door Mark Manson (Audioboek),8.1
4215,22-3-2011,27,1169,Sport en Recreatie:,Sportschoenen,Asics Gel-Kayano 28 voor stabiliteit en ondersteuning,151.5
6604,22-3-2011,15,11512,Elektronica:,Koptelefoons,JBL Free X draadloze in-ear oordopjes,310.3
6945,22-3-2011,3,1201,Reizen en Toerisme:,Hotelaccommodaties,Luxe Suite in Marriott Amsterdam met uitzicht op grachten,82.7
8882,22-3-2011,21,12267,Woondecoratie:,Kussens en dekens,Gebreide Deken met Grof Patroon voor textuur,64.2
11489,22-3-2011,21,7048,Auto en Transport:,Autowas- en reinigingsproducten,Chemical Guys Microfiber Wash Mitt voor krasvrij reinigen,9.6
13454,22-3-2011,23,7393,Sport en Recreatie:,Fitnessapparatuur,Bowflex SelectTech Halterset voor veelzijdige krachttraining,349.6
16615,22-3-2011,9,14402,Sport en Recreatie:,Sportkleding,Puma Running Shorts voor comfort en bewegingsvrijheid,87.9
17087,22-3-2011,11,4759,Woondecoratie:,Planten en bloemen,Orchidee in Potten voor verfijnde decoratie,30.7
19689,22-3-2011,13,11251,Kleding en Mode:,Jurken,Maxi-jurk met ruches en paisley-patroon,87.5
4789,23-3-2011,28,9450,Boeken en Onderwijs:,Educatieve materialen,Science Experiment Kit voor hands-on leren,21.6
5025,23-3-2011,29,7980,Kleding en Mode:,Broeken,Slim fit jeans met lichte wassing,43.1
10864,23-3-2011,24,3345,Voeding:,Zuivelproducten,Volle melk voor het maken van koffie,6.9
13032,23-3-2011,10,8844,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Fram Extra Guard Oliefilter voor filtratie,29.7
17482,23-3-2011,24,3929,Elektronica:,Laptops,Lenovo ThinkPad X1 Carbon voor zakelijke gebruikers,849.0
10733,24-3-2011,13,4337,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),FH Group Universal Car Seat Covers voor personalisatie,24.0
14473,24-3-2011,5,12369,Schoonheids- en Verzorgingsproducten:,Parfums,Dolce & Gabbana Light Blue Eau Intense voor zomerse aroma's,84.3
1313,25-3-2011,14,11253,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Olaplex Hair Perfector No. 3 voor sterk en gezond haar,48.6
14281,25-3-2011,4,9849,Auto en Transport:,Fietsen en scooters,Segway Ninebot MAX G30LP E-scooter met lange actieradius,852.0
16424,25-3-2011,14,5049,Boeken en Onderwijs:,E-books en audioboeken,The Hunger Games door Suzanne Collins (E-book),10.7
19156,25-3-2011,23,3635,Woondecoratie:,Schilderijen en wanddecoratie,Houten Wandplank voor het presenteren van decoratieve items,95.0
3861,26-3-2011,25,8272,Reizen en Toerisme:,Activiteiten en rondleidingen,Stadstour door Rome met Bezoek aan het Colosseum,137.1
8467,26-3-2011,4,11264,Kleding en Mode:,Schoenen,Chelsea laarzen met su de afwerking,113.1
13811,26-3-2011,17,8696,Woondecoratie:,Kaarsen en geurverspreiders,Diptyque Baies Geurkaars met fruitige tonen,11.7
15929,26-3-2011,19,13187,Kleding en Mode:,Jurken,Knielange A-lijn jurk met bloemenprint,96.8
16656,26-3-2011,6,13561,Voeding:,Verpakte snacks,Kinder Bueno Chocoladerepen als zoete traktatie,7.9
20245,26-3-2011,2,6588,Voeding:,Drankjes (frisdrank, sap, water),Vers Geperst Sinaasappelsap voor een vitamineboost,3.5
10754,27-3-2011,10,1558,Auto en Transport:,Autowas- en reinigingsproducten,Chemical Guys Microfiber Wash Mitt voor krasvrij reinigen,10.6
12813,27-3-2011,4,4412,Reizen en Toerisme:,Reisverzekeringen,Jaarlijkse Reisverzekering voor frequente reizigers,65.5
18539,27-3-2011,12,3333,Elektronica:,Tablets,Lenovo Tab P11 met groot scherm voor productiviteit,201.2
2283,28-3-2011,1,11209,Voeding:,Zuivelproducten,Griekse yoghurt met honing en walnoten,9.5
2925,28-3-2011,14,3546,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,CeraVe Moisturizing Cream voor droge huid,19.9
3049,28-3-2011,28,2635,Sport en Recreatie:,Sportschoenen,New Balance Fresh Foam Hardloopschoenen voor demping,44.4
10184,28-3-2011,11,11868,Kleding en Mode:,Schoenen,Espadrilles met jute zolen,129.0
16941,28-3-2011,11,8871,Voeding:,Drankjes (frisdrank, sap, water),Nestl  Pure Life Flessenwater,0.9
7448,29-3-2011,25,8479,Kleding en Mode:,T-shirts,Gestreept T-shirt met boothals,32.8
9375,29-3-2011,4,13874,Woondecoratie:,Planten en bloemen,Hangende Vetplant in Macram  Hanger voor verticaal tuinieren,17.3
14857,29-3-2011,12,6153,Kleding en Mode:,Jurken,Denim overgooierjurk met knopen,126.0
15943,29-3-2011,27,4946,Woondecoratie:,Planten en bloemen,Bonsai Boom voor een artistiek accent,14.5
3052,30-3-2011,5,6035,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Callaway Mavrik Golfclubs voor afstand en nauwkeurigheid,130.2
6663,30-3-2011,3,4549,Elektronica:,Koptelefoons,Apple AirPods Pro met transparantiemodus,134.2
11231,30-3-2011,26,14927,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),Dyson V15 Detect Stofzuiger met geavanceerde sensoren,541.5
14491,30-3-2011,14,175,Huishoudelijke Artikelen:,Sportkleding,Puma Running Shorts voor comfort en bewegingsvrijheid,92.5
14841,30-3-2011,30,11099,Woondecoratie:,Schilderijen en wanddecoratie,Metalen Muurdecoratie met geometrisch patroon,75.9
18807,30-3-2011,5,13446,Reizen en Toerisme:,Activiteiten en rondleidingen,Snorkelavontuur in het Great Barrier Reef, Australi ,76.3
20188,31-3-2011,20,10662,Voeding:,Drankjes (frisdrank, sap, water),Coca-Cola Frisdrank in blik,4.3
4173,1-4-2011,27,2511,Voeding:,Verpakte snacks,Kinder Bueno Chocoladerepen als zoete traktatie,7.8
7087,1-4-2011,11,5860,Kleding en Mode:,Jurken,Denim overgooierjurk met knopen,134.4
14099,1-4-2011,20,6066,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Car Trash Can voor netheid en organisatie,18.2
14417,1-4-2011,12,12068,Boeken en Onderwijs:,Schrijfwaren,Staedtler Triplus Fineliner Set voor nauwkeurige lijnen,4.3
10637,2-4-2011,16,3288,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Panasonic Inverter Magnetronoven voor snel opwarmen,107.8
14993,2-4-2011,4,8199,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),KitchenAid Food Processor voor hakken en mengen,133.7
16244,2-4-2011,2,13892,Reizen en Toerisme:,Vliegtickets,Business Class Vliegticket naar New York,1327.4
17441,2-4-2011,24,7280,Sport en Recreatie:,Fietsen,BMX-fiets voor tricks en stunts,1127.1
3632,3-4-2011,22,4706,Elektronica:,Laptops,Dell XPS 15 met dunne randen en krachtige prestaties,880.6
6263,3-4-2011,13,3990,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,Drunk Elephant T.L.C. Framboos Glycolic Night Serum,14.5
6472,3-4-2011,20,14581,Auto en Transport:,Autowas- en reinigingsproducten,Stoner Invisible Glass Cleaner voor streepvrije ramen,8.5
11090,3-4-2011,20,12539,Voeding:,Verse producten (groenten, fruit, vlees, vis),Knapperige broccoli voor groene smoothies,16.2
11103,3-4-2011,30,11095,Woondecoratie:,Beeldjes en ornamenten,Natuurstenen Boekensteunen voor functionele kunst,11.1
15675,3-4-2011,11,1155,Auto en Transport:,Autowas- en reinigingsproducten,Armor All Car Interior Cleaner voor interieuronderhoud,26.1
9869,4-4-2011,29,11175,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Gewatteerde sprei met bloemenmotief,106.1
12617,4-4-2011,30,4842,Elektronica:,Tablets,Apple iPad Pro met Liquid Retina-display,513.2
13093,4-4-2011,19,10196,Kleding en Mode:,Jurken,Knielange A-lijn jurk met bloemenprint,103.5
13164,4-4-2011,29,7839,Voeding:,Drankjes (frisdrank, sap, water),Tropicana Apple Juice voor verfrissing,4.4
20648,4-4-2011,4,6118,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),NGK Bougies voor effici nte verbranding,74.6
3822,5-4-2011,11,9425,Kleding en Mode:,Broeken,Wijde palazzo-broek met bloemenpatroon,66.7
9643,5-4-2011,2,2525,Reizen en Toerisme:,Vliegtickets,Economy Class Vliegticket naar Parijs,1240.7
17872,5-4-2011,12,8673,Elektronica:,Koptelefoons,JBL Free X draadloze in-ear oordopjes,322.2
6986,6-4-2011,6,13175,Schoonheids- en Verzorgingsproducten:,Make-up,MAC Ruby Woo Lipstick voor een klassieke rode lip,34.6
7023,6-4-2011,6,171,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Michelin Pilot Sport 4 Zomerbanden voor grip,71.0
7528,6-4-2011,25,13233,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Seat Gap Filler voor het voorkomen van spullen in openingen,6.4
7711,6-4-2011,26,3310,Voeding:,Verse producten (groenten, fruit, vlees, vis),Mals rundvlees voor een heerlijke steak,14.4
10517,6-4-2011,5,5255,Elektronica:,Laptops,Dell XPS 15 met dunne randen en krachtige prestaties,1002.9
13907,6-4-2011,9,7658,Elektronica:,Tablets,Samsung Galaxy Tab S7+ met S Pen,358.5
14425,6-4-2011,20,9267,Boeken en Onderwijs:,E-books en audioboeken,Where the Crawdads Sing door Delia Owens (E-book),13.9
15760,6-4-2011,15,9970,Sport en Recreatie:,Fietsen,Cannondale Quick Hybride Fiets voor stadsvervoer,932.5
4288,7-4-2011,14,6858,Sport en Recreatie:,Sportschoenen,Under Armour Project Rock Trainingsschoenen met grip,45.4
5446,7-4-2011,20,9155,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Cuisinart IJsmachine voor huisgemaakt ijs,76.9
8951,7-4-2011,17,11422,Woondecoratie:,Kussens en dekens,Gebreide Deken met Grof Patroon voor textuur,65.1
12541,7-4-2011,21,425,Elektronica:,Smartphones,Apple iPhone 13 Pro met geavanceerde camera's,290.6
4769,8-4-2011,16,1391,Auto en Transport:,Autowas- en reinigingsproducten,Stoner Invisible Glass Cleaner voor streepvrije ramen,8.2
19100,8-4-2011,29,6281,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Vitamix Pro 750 Blender voor gladde smoothies,220.1
1925,9-4-2011,19,8042,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,Drunk Elephant T.L.C. Framboos Glycolic Night Serum,15.5
6419,9-4-2011,5,8873,Reizen en Toerisme:,Vliegtickets,First Class Vliegticket naar Dubai,923.9
6454,9-4-2011,9,9334,Reizen en Toerisme:,Reisverzekeringen,Annuleringsverzekering voor Flexibiliteit in Reisplannen,166.6
6966,9-4-2011,17,13975,Elektronica:,Smartphones,Samsung Galaxy S21 Ultra met groot AMOLED-scherm,566.3
9485,9-4-2011,15,3908,Boeken en Onderwijs:,Studieboeken,Introduction to Psychology door James W. Kalat,20.9
10259,9-4-2011,23,13204,Schoonheids- en Verzorgingsproducten:,Make-up,Urban Decay Naked Eyeshadow Palette voor veelzijdige ooglooks,40.7
10823,9-4-2011,7,3425,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Breville Barista Express Koffiezetapparaat voor espresso liefhebbers,200.2
11247,9-4-2011,22,4381,Schoonheids- en Verzorgingsproducten:,Parfums,Viktor & Rolf Flowerbomb Eau de Parfum voor bloemige noten,90.0
19398,9-4-2011,15,2068,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Aveeno Daily Moisturizing Body Lotion voor gevoelige huid,13.0
9328,10-4-2011,1,7388,Elektronica:,Tablets,Apple iPad Pro met Liquid Retina-display,494.4
9852,10-4-2011,8,10912,Sport en Recreatie:,Fietsen,Specialized Turbo Vado E-bike voor elektrische ondersteuning,473.6
10257,10-4-2011,25,10198,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),IKEA Ektorp 3-zitsbank voor comfort en stijl,477.7
12670,10-4-2011,21,4139,Kleding en Mode:,Schoenen,Wandelschoenen met waterdichte membranen,69.0
14108,10-4-2011,19,14277,Boeken en Onderwijs:,Studieboeken,Organic Chemistry door Paula Yurkanis Bruice,119.6
14302,10-4-2011,9,7786,Elektronica:,Koptelefoons,Sennheiser HD 660S met hoge geluidskwaliteit,200.1
15615,10-4-2011,21,10576,Reizen en Toerisme:,Reisverzekeringen,Jaarlijkse Reisverzekering voor frequente reizigers,63.1
16081,10-4-2011,3,11432,Woondecoratie:,Schilderijen en wanddecoratie,Abstract Canvas Schilderij voor moderne inrichting,42.2
5217,11-4-2011,14,12352,Reizen en Toerisme:,Hotelaccommodaties,Rustiek Chalet in Zwitserse Alpen voor bergavontuur,335.4
7017,11-4-2011,22,11325,Voeding:,Bakkerijproducten,Rijkelijke chocoladecroissants als ontbijttraktatie,7.1
16848,11-4-2011,4,10435,Auto en Transport:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,10.6
3257,12-4-2011,3,7826,Woondecoratie:,Planten en bloemen,Kamerplant: Monstera Deliciosa voor groene uitstraling,30.7
4017,12-4-2011,27,5584,Reizen en Toerisme:,Activiteiten en rondleidingen,Stadstour door Rome met Bezoek aan het Colosseum,126.7
12396,12-4-2011,29,9767,Voeding:,Zuivelproducten,Griekse yoghurt met honing en walnoten,9.1
16371,12-4-2011,24,6759,Elektronica:,Slimme horloges,Apple Watch Series 7 met groot scherm en gezondheidsfuncties,346.8
19616,12-4-2011,5,3722,Sport en Recreatie:,Fietsen,Cannondale Quick Hybride Fiets voor stadsvervoer,1033.3
11217,13-4-2011,21,4684,Voeding:,Zuivelproducten,Yoplait Fruitige Yoghurt met aardbeiensmaak,6.1
11785,13-4-2011,20,3009,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Houten eettafel met uitschuifbaar blad,601.4
13774,13-4-2011,4,3352,Reizen en Toerisme:,Reispakketten,Stedentrip Pakket naar Londen met bezienswaardigheden,2071.8
6067,14-4-2011,26,13335,Schoonheids- en Verzorgingsproducten:,Parfums,Dior Sauvage Eau de Toilette voor een krachtige geur,85.9
14101,14-4-2011,22,2001,Reizen en Toerisme:,Activiteiten en rondleidingen,Stadstour door Rome met Bezoek aan het Colosseum,120.6
19966,14-4-2011,1,13301,Kleding en Mode:,Schoenen,Chelsea laarzen met su de afwerking,120.5
1069,15-4-2011,13,6585,Reizen en Toerisme:,Reispakketten,All-Inclusive Pakket voor Caribisch Eiland Resort,1284.5
4075,15-4-2011,20,12531,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Cuisinart IJsmachine voor huisgemaakt ijs,73.8
6841,15-4-2011,5,14923,Auto en Transport:,Autowas- en reinigingsproducten,Turtle Wax Trim Restorer voor plastic en rubber,5.3
8978,15-4-2011,1,8210,Schoonheids- en Verzorgingsproducten:,Make-up,Urban Decay Naked Eyeshadow Palette voor veelzijdige ooglooks,42.4
10074,15-4-2011,13,7609,Schoonheids- en Verzorgingsproducten:,Parfums,Chanel No. 5 Eau de Parfum voor tijdloze elegantie,226.1
10609,15-4-2011,28,9097,Reizen en Toerisme:,Activiteiten en rondleidingen,Northern Lights Tour in Lapland, Finland,20.7
14853,15-4-2011,21,5592,Elektronica:,Koptelefoons,Apple AirPods Pro met transparantiemodus,134.2
16585,15-4-2011,24,11270,Woondecoratie:,Schilderijen en wanddecoratie,Houten Wandplank voor het presenteren van decoratieve items,98.5
20225,15-4-2011,11,9276,Auto en Transport:,Fietsen en scooters,Trek Dual Sport+ Elektrische Fiets voor veelzijdigheid,724.7
7507,16-4-2011,13,9939,Sport en Recreatie:,Fietsen,BMX-fiets voor tricks en stunts,1027.3
8772,16-4-2011,14,9308,Elektronica:,Tablets,Lenovo Tab P11 met groot scherm voor productiviteit,195.7
9352,16-4-2011,13,6727,Kleding en Mode:,Hoeden,Klassieke fedora hoed van vilt,29.9
9815,16-4-2011,25,10075,Boeken en Onderwijs:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,9.5
13771,17-4-2011,2,322,Auto en Transport:,Autowas- en reinigingsproducten,Turtle Wax Trim Restorer voor plastic en rubber,5.3
9786,18-4-2011,10,11316,Reizen en Toerisme:,Vliegtickets,Premium Economy Vliegticket naar Tokyo,770.9
19682,18-4-2011,9,572,Kleding en Mode:,Jurken,Denim overgooierjurk met knopen,138.1
1107,19-4-2011,16,3874,Kleding en Mode:,Jurken,Denim overgooierjurk met knopen,127.6
14923,19-4-2011,1,4266,Sport en Recreatie:,Sportschoenen,Brooks Ghost 14 voor neutrale hardlopers,131.6
3682,20-4-2011,4,5090,Woondecoratie:,Beeldjes en ornamenten,Keramische Beeldjes Set voor schattige decoratie,21.6
7485,20-4-2011,7,3954,Kleding en Mode:,Jurken,Maxi-jurk met ruches en paisley-patroon,80.9
19065,20-4-2011,14,10880,Schoonheids- en Verzorgingsproducten:,Make-up,MAC Ruby Woo Lipstick voor een klassieke rode lip,34.1
2068,21-4-2011,10,9437,Reizen en Toerisme:,Reisverzekeringen,Single-Trip Reisverzekering voor Europese stedentrip,184.8
4277,21-4-2011,15,12244,Reizen en Toerisme:,Vliegtickets,Business Class Vliegticket naar New York,1278.9
4860,21-4-2011,2,9597,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Shea Moisture Curl Enhancing Smoothie voor krullend haar,22.5
1623,22-4-2011,7,11224,Schoonheids- en Verzorgingsproducten:,Make-up,Maybelline Great Lash Mascara voor volle wimpers,30.3
2865,22-4-2011,28,1458,Sport en Recreatie:,Sportkleding,Puma Running Shorts voor comfort en bewegingsvrijheid,89.0
8302,22-4-2011,29,2115,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Bumble and Bumble Surf Spray voor beachy waves,8.6
11861,22-4-2011,29,9337,Auto en Transport:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,14.8
11943,22-4-2011,18,4753,Boeken en Onderwijs:,Schrijfwaren,Staedtler Triplus Fineliner Set voor nauwkeurige lijnen,4.7
14316,22-4-2011,15,8429,Auto en Transport:,Fietsen en scooters,Razor A5 Lux Step Scooter voor kinderen en tieners,180.2
15575,22-4-2011,22,5188,Kleding en Mode:,T-shirts,V-hals T-shirt met subtiele print,34.6
7495,23-4-2011,18,3138,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Breville Barista Express Koffiezetapparaat voor espresso liefhebbers,173.7
2499,24-4-2011,27,10735,Elektronica:,Laptops,ASUS ROG Zephyrus G14 voor gamers en creatievelingen,2152.8
6035,24-4-2011,30,13419,Voeding:,Bakkerijproducten,Rijkelijke chocoladecroissants als ontbijttraktatie,7.9
13155,24-4-2011,4,2133,Sport en Recreatie:,Sportschoenen,Asics Gel-Kayano 28 voor stabiliteit en ondersteuning,153.5
9431,25-4-2011,7,3960,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),IKEA Ektorp 3-zitsbank voor comfort en stijl,502.5
14225,25-4-2011,24,2445,Boeken en Onderwijs:,Schrijfwaren,Sharpie Permanent Markers voor diverse oppervlakken,16.5
14512,25-4-2011,26,2513,Voeding:,Bakkerijproducten,Glutenvrije muffins voor een gezonder alternatief,6.3
15178,25-4-2011,30,2688,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),IKEA Ektorp 3-zitsbank voor comfort en stijl,537.4
